nom_ent,nom_mun,nom_loc,ageb,pobfem,p_0a2_f,p_3a5_f,p_6a11_f,p_12a14_f,p_15a17_f,p_18a24_f,p_25a49_f,p_50a_59_f,p_60ymas_f
México,Toluca,San Antonio Buenavista,241,2910.0,108.0,135.0,273.0,158.0,195.0,376.0,1142.0,280.0,243.0
México,Toluca,San Juan Tilapa,294,3357.0,166.0,173.0,398.0,167.0,150.0,413.0,1224.0,425.0,241.0
México,Toluca,Toluca de Lerdo,307,2439.0,42.0,64.0,164.0,76.0,66.0,262.0,934.0,511.0,320.0
México,Toluca,Toluca de Lerdo,330,2516.0,67.0,95.0,210.0,106.0,106.0,295.0,953.0,403.0,281.0
México,Toluca,Toluca de Lerdo,345,2000.0,24.0,42.0,150.0,54.0,39.0,166.0,731.0,416.0,378.0
México,Toluca,Toluca de Lerdo,379,3056.0,94.0,111.0,275.0,93.0,105.0,346.0,1116.0,562.0,354.0
México,Toluca,Toluca de Lerdo,383,1151.0,43.0,44.0,89.0,39.0,40.0,134.0,444.0,169.0,149.0
México,Toluca,Toluca de Lerdo,398,1635.0,6.0,35.0,106.0,35.0,29.0,135.0,625.0,330.0,334.0
México,Toluca,Toluca de Lerdo,400,1600,42.0,41.0,101.0,53.0,64.0,162.0,573.0,286.0,278.0
México,Toluca,Toluca de Lerdo,415,1241.0,19.0,17.0,70.0,14.0,27.0,129.0,488.0,311.0,166.0
México,Toluca,Toluca de Lerdo,434,1963.0,19.0,30.0,82.0,53.0,55.0,147.0,813.0,328.0,436.0
México,Toluca,Toluca de Lerdo,449,2380.0,33.0,41.0,133.0,65.0,88.0,244.0,883.0,416.0,477.0
México,Toluca,Toluca de Lerdo,453,939.0,10.0,19.0,49.0,7.0,8.0,103.0,343.0,242.0,158.0
México,Toluca,Toluca de Lerdo,468,1660.0,29.0,30.0,93.0,34.0,47.0,136.0,642.0,389.0,260.0
México,Toluca,Toluca de Lerdo,472,497,0.0,0.0,18.0,4.0,0.0,46.0,190.0,141.0,98.0
México,Toluca,Toluca de Lerdo,487,1898,31.0,28.0,84.0,59.0,52.0,175.0,740.0,372.0,357.0
México,Toluca,Toluca de Lerdo,491,1756,25.0,17.0,91.0,29.0,38.0,180.0,658.0,393.0,325.0
México,Toluca,Toluca de Lerdo,504,2291.0,43.0,47.0,142.0,47.0,44.0,233.0,869.0,461.0,405.0
México,Toluca,Toluca de Lerdo,519,875,3.0,4.0,37.0,5.0,7.0,66.0,329.0,245.0,179.0
México,Toluca,Toluca de Lerdo,523,1997.0,21.0,28.0,108.0,24.0,44.0,145.0,727.0,405.0,495.0
México,Toluca,Toluca de Lerdo,538,1180.0,6.0,4.0,59.0,14.0,17.0,108.0,455.0,274.0,243.0
México,Toluca,Toluca de Lerdo,542,1228.0,0.0,9.0,71.0,15.0,13.0,132.0,479.0,275.0,234.0
México,Toluca,Toluca de Lerdo,557,2035.0,43.0,57.0,134.0,60.0,58.0,233.0,742.0,387.0,321.0
México,Toluca,Toluca de Lerdo,561,3025,90.0,101.0,238.0,104.0,124.0,377.0,1170.0,471.0,350.0
México,Toluca,Toluca de Lerdo,576,1894.0,23.0,40.0,88.0,26.0,46.0,192.0,681.0,365.0,433.0
México,Toluca,Toluca de Lerdo,580,926,0.0,3.0,20.0,9.0,19.0,56.0,313.0,269.0,237.0
México,Toluca,Toluca de Lerdo,595,802,10.0,9.0,53.0,11.0,16.0,94.0,291.0,164.0,154
México,Toluca,Toluca de Lerdo,608,1548,32.0,46.0,120.0,54.0,67.0,177.0,588.0,245.0,219.0
México,Toluca,Toluca de Lerdo,631,1383,35.0,34.0,110.0,36.0,47.0,165.0,546.0,230.0,180.0
México,Toluca,Toluca de Lerdo,646,3334,107.0,133.0,285.0,146.0,150.0,442.0,1253.0,475.0,343.0
México,Toluca,Toluca de Lerdo,699,2464.0,113.0,135.0,255.0,102.0,131.0,304.0,934.0,295.0,195.0
México,Toluca,Toluca de Lerdo,701,3301,149.0,154.0,354.0,155.0,154.0,413.0,1227.0,445.0,250.0
México,Toluca,Toluca de Lerdo,754,3369.0,95.0,154.0,323.0,153.0,158.0,425.0,1369.0,462.0,230.0
México,Toluca,Toluca de Lerdo,769,856,6.0,17.0,41.0,13.0,13.0,73.0,314.0,218.0,161.0
México,Toluca,Toluca de Lerdo,773,830,8.0,21.0,26.0,14.0,21.0,58.0,302.0,192.0,188
México,Toluca,Toluca de Lerdo,788,2726.0,124.0,104.0,293.0,111.0,129.0,316.0,1052.0,358.0,239.0
México,Toluca,Toluca de Lerdo,824,498,38.0,42,71,23.0,27,63,179,43.0,12.0
México,Toluca,Toluca de Lerdo,858,2828,109.0,120.0,274.0,105.0,95.0,330.0,1110.0,405.0,280.0
México,Toluca,Toluca de Lerdo,862,5101.0,257.0,274.0,570.0,232.0,262.0,628.0,1971.0,561.0,346.0
México,Toluca,Toluca de Lerdo,896,4247.0,201.0,222.0,481.0,206.0,226.0,504.0,1688.0,406.0,313.0
México,Toluca,Toluca de Lerdo,909,2506,105.0,115.0,296.0,109.0,105.0,306.0,998.0,251.0,221.0
México,Toluca,Toluca de Lerdo,913,2200.0,94.0,97.0,238.0,97.0,101.0,265.0,857.0,246.0,205.0
México,Toluca,Toluca de Lerdo,1023,1702,70.0,77.0,167,94.0,91.0,200,698.0,205.0,100.0
México,Toluca,Toluca de Lerdo,1038,333,4.0,16.0,33.0,17.0,17.0,43.0,138.0,57.0,8.0
México,Toluca,Toluca de Lerdo,1061,2370.0,60.0,78.0,196.0,96.0,150.0,361.0,941.0,366.0,122.0
México,Toluca,El Cerrillo Vista Hermosa,1184,3443.0,205.0,227.0,438.0,170.0,158.0,447.0,1296.0,279.0,223.0
México,Toluca,Toluca de Lerdo,1254,1735.0,68.0,90.0,217.0,72.0,66.0,209.0,663.0,225.0,125.0
México,Toluca,San Marcos Yachihuacaltepec,1485,1748,66.0,111.0,242.0,103.0,73.0,222.0,672.0,160.0,99.0
México,Toluca,San Mateo Otzacatipan,1502,4185.0,233.0,270.0,491.0,206.0,271.0,564.0,1495.0,406.0,249.0
México,Toluca,San Pablo Autopan,1517,3191,207.0,228.0,394.0,124.0,167.0,448.0,1136.0,332.0,155.0
México,Toluca,San Pablo Autopan,1521,1940.0,114.0,117.0,215.0,84.0,125.0,267.0,702.0,191.0,125.0
México,Toluca,Toluca de Lerdo,1555,1537,52.0,57.0,124.0,58.0,79.0,225.0,618.0,241.0,83.0
México,Toluca,San Juan Tilapa,1574,652,16.0,32.0,64.0,34.0,19.0,98.0,265.0,91.0,33.0
México,Toluca,San Pablo Autopan,1589,1209,82.0,66.0,164.0,57.0,53.0,179.0,420.0,100.0,88.0
México,Toluca,San Andrés Cuexcontitlán,1593,101,7,8,14,7,5,9,40,5,6
México,Toluca,Toluca de Lerdo,1606,1045.0,30.0,38.0,105.0,47.0,40.0,118.0,423.0,182.0,62.0
México,Toluca,Toluca de Lerdo,1610,122,6.0,0.0,7.0,5.0,5,13,52,26.0,8
México,Toluca,Toluca de Lerdo,1625,580.0,28.0,23.0,59.0,37.0,15.0,72.0,250.0,80.0,16.0
México,Toluca,San Pablo Autopan,1659,1281,69.0,84.0,151.0,68.0,72.0,203.0,457.0,104.0,73.0
México,Toluca,Toluca de Lerdo,1663,517,26.0,37,66,31.0,29.0,58,205.0,39.0,26.0
México,Toluca,Toluca de Lerdo,1678,633,29.0,26.0,62.0,44.0,33.0,80.0,255.0,64.0,40.0
México,Toluca,Toluca de Lerdo,1682,3152.0,106.0,133.0,313.0,161.0,150.0,359.0,1265.0,386.0,279.0
México,Toluca,Toluca de Lerdo,1697,765.0,8.0,7.0,32.0,10.0,16.0,98.0,307.0,190.0,97.0
México,Toluca,Cacalomacán,1729,2883.0,169.0,161.0,313.0,111.0,157.0,397.0,1072.0,283.0,220.0
México,Toluca,Cacalomacán,1733,2626,87.0,106.0,274.0,138.0,143.0,319.0,1006.0,311.0,242.0
México,Toluca,Calixtlahuaca,1748,1983.0,95.0,90.0,202.0,64.0,94.0,222.0,770.0,255.0,191.0
México,Toluca,Calixtlahuaca,1752,2172.0,67.0,82.0,223.0,108.0,86.0,247.0,831.0,327.0,201.0
México,Toluca,San Andrés Cuexcontitlán,1767,2768.0,177.0,164.0,371.0,140.0,163.0,385.0,983.0,225.0,160.0
México,Toluca,San Andrés Cuexcontitlán,1771,3171.0,181.0,210.0,404.0,169.0,167.0,441.0,1131.0,294.0,174.0
México,Toluca,San Felipe Tlalmimilolpan,1786,1777.0,69.0,79.0,181.0,70.0,98.0,219.0,679.0,253.0,129.0
México,Toluca,San Felipe Tlalmimilolpan,1790,2434.0,107.0,104.0,241.0,106.0,118.0,232.0,993.0,299.0,234.0
México,Toluca,San Pedro Totoltepec,1803,4782.0,190.0,248.0,534.0,260.0,260.0,551.0,1942.0,452.0,345.0
México,Toluca,San Pedro Totoltepec,1818,3808.0,177.0,211.0,417.0,174.0,174.0,413.0,1557.0,446.0,239.0
México,Toluca,Santiago Tlacotepec,1837,3115.0,153.0,160.0,302.0,145.0,157.0,387.0,1181.0,343.0,287.0
México,Toluca,Santiago Tlacotepec,1841,4419.0,292.0,246.0,493.0,245.0,227.0,574.0,1632.0,416.0,294.0
México,Toluca,Toluca de Lerdo,1856,3318.0,137.0,136.0,289.0,121.0,157.0,427.0,1275.0,439.0,337.0
México,Toluca,Toluca de Lerdo,1860,2788.0,116.0,137.0,277.0,114.0,140.0,335.0,1073.0,331.0,265.0
México,Toluca,Toluca de Lerdo,1894,3070.0,134.0,136.0,306.0,126.0,139.0,373.0,1248.0,360.0,248.0
México,Toluca,Toluca de Lerdo,1907,3703.0,123.0,163.0,382.0,160.0,194.0,461.0,1447.0,483.0,290.0
México,Toluca,Toluca de Lerdo,1911,2968.0,86.0,71.0,261.0,101.0,143.0,361.0,1202.0,479.0,264.0
México,Toluca,Toluca de Lerdo,1926,1725.0,36.0,47.0,147.0,40.0,56.0,231.0,689.0,333.0,146.0
México,Toluca,Toluca de Lerdo,1930,1921.0,74.0,54.0,167.0,65.0,87.0,266.0,742.0,375.0,91.0
México,Toluca,Toluca de Lerdo,1945,1728.0,47.0,41.0,158.0,60.0,83.0,248.0,685.0,343.0,63.0
México,Toluca,Toluca de Lerdo,1979,2186.0,75.0,89.0,196.0,76.0,83.0,296.0,880.0,324.0,167.0
México,Toluca,Toluca de Lerdo,1983,3513.0,149.0,145.0,298.0,130.0,134.0,502.0,1362.0,560.0,233.0
México,Toluca,Toluca de Lerdo,1998,2807,117.0,144.0,284.0,95.0,138.0,364.0,1061.0,415.0,189.0
México,Toluca,Toluca de Lerdo,2017,2281.0,107.0,98.0,231.0,90.0,111.0,276.0,825.0,354.0,189.0
México,Toluca,Toluca de Lerdo,2021,1705.0,44.0,53.0,148.0,46.0,63.0,209.0,691.0,364.0,87.0
México,Toluca,Toluca de Lerdo,2036,1525,26.0,26.0,99.0,28.0,41.0,196.0,562.0,424.0,123.0
México,Toluca,Toluca de Lerdo,2040,2102,67.0,88.0,171.0,69.0,67.0,265.0,833.0,325.0,217.0
México,Toluca,Toluca de Lerdo,2055,2664.0,79.0,83.0,200.0,80.0,115.0,374.0,1008.0,494.0,231.0
México,Toluca,Toluca de Lerdo,2074,2420,75.0,74.0,216.0,76.0,90.0,372.0,940.0,448.0,129.0
México,Toluca,Toluca de Lerdo,2089,1973.0,31.0,37.0,128.0,56.0,59.0,285.0,823.0,428.0,126.0
México,Toluca,Toluca de Lerdo,2106,1987.0,63.0,98.0,179.0,100.0,89.0,209.0,743.0,322.0,184.0
México,Toluca,Toluca de Lerdo,2110,1337.0,31.0,33.0,92.0,36.0,65.0,145.0,501.0,249.0,185.0
México,Toluca,Toluca de Lerdo,2125,645.0,16.0,3.0,40.0,4.0,20.0,59.0,244.0,174.0,85.0
México,Toluca,Toluca de Lerdo,2144,1572.0,32.0,38.0,135.0,48.0,43.0,173.0,640.0,301.0,162.0
México,Toluca,Toluca de Lerdo,2159,947.0,6.0,24.0,46.0,19.0,13.0,107.0,405.0,238.0,89.0
México,Toluca,San José Guadalupe Otzacatipan,2178,5545.0,296.0,315.0,740.0,324.0,307.0,710.0,2184.0,452.0,217.0
México,Toluca,San Nicolás Tolentino,2182,3468.0,226.0,248.0,478.0,216.0,208.0,469.0,1222.0,245.0,156.0
México,Toluca,Tlachaloya Segunda Sección,2197,2892.0,179.0,166.0,406.0,134.0,155.0,418.0,1016.0,309.0,109.0
México,Toluca,Toluca de Lerdo,2214,1709.0,45.0,51.0,195.0,50.0,83.0,214.0,741.0,290.0,40.0
México,Toluca,Toluca de Lerdo,2248,1302.0,75.0,72.0,131.0,72.0,81.0,177.0,512.0,119.0,63.0
México,Toluca,San Felipe Tlalmimilolpan,2252,326.0,20.0,11.0,22.0,8.0,15.0,48.0,142.0,40.0,20.0
México,Toluca,Santiago Tlacotepec,2267,542.0,18.0,8.0,45.0,29.0,36.0,65.0,222.0,93.0,26.0
México,Toluca,San Mateo Otzacatipan,2271,2440,138.0,167.0,332.0,103.0,152.0,359.0,850.0,219.0,120.0
México,Toluca,San Pablo Autopan,2286,1034,85,68,135,66.0,48.0,136,378.0,60.0,58
México,Toluca,Toluca de Lerdo,2290,440.0,7.0,10.0,12.0,0.0,0.0,60.0,210.0,141.0,0.0
México,Toluca,Toluca de Lerdo,2303,526.0,22.0,13.0,64.0,18.0,21.0,62.0,232.0,86.0,8.0
México,Toluca,Toluca de Lerdo,2318,516.0,3.0,0.0,9.0,6.0,7.0,36.0,263.0,192.0,0.0
México,Toluca,Toluca de Lerdo,2322,1838,70.0,67.0,145.0,54.0,43.0,226.0,710.0,402.0,121.0
México,Toluca,Toluca de Lerdo,2337,780.0,29.0,55.0,78.0,27.0,44.0,117.0,270.0,142.0,18.0
México,Toluca,Toluca de Lerdo,2341,986.0,30.0,27.0,97.0,65.0,56.0,108.0,426.0,127.0,50.0
México,Toluca,Toluca de Lerdo,2356,164,5,9,20,6,9,13,71,24,7
México,Toluca,Toluca de Lerdo,2360,676.0,25.0,44.0,102.0,20.0,24.0,51.0,301.0,79.0,30.0
México,Toluca,Toluca de Lerdo,2375,93,8,6,11,3,4,14,33,10,4
México,Toluca,San Pablo Autopan,2394,67,7,4.0,9,0.0,3.0,10,23.0,8.0,3.0
México,Toluca,San Andrés Cuexcontitlán,2407,646,53.0,42.0,81,27.0,43,92.0,234.0,51.0,23.0
México,Toluca,Toluca de Lerdo,2411,0,0,0,0,0,0,0,0,0,0
México,Toluca,Toluca de Lerdo,2426,726,19.0,19.0,51.0,12.0,18.0,64.0,281.0,176.0,86.0
México,Toluca,Toluca de Lerdo,2430,660.0,3.0,10.0,24.0,6.0,13.0,52.0,256.0,196.0,100.0
México,Toluca,Toluca de Lerdo,2445,1232.0,36.0,36.0,141.0,40.0,75.0,127.0,508.0,228.0,41.0
México,Toluca,San Pedro Totoltepec,2464,1039,64.0,59.0,121.0,58.0,50.0,137.0,404.0,80.0,66.0
México,Toluca,Santa Cruz Otzacatipan,2479,2477.0,115.0,125.0,309.0,133.0,133.0,278.0,965.0,266.0,153.0
México,Toluca,San Miguel Totoltepec,2483,2748.0,137.0,148.0,320.0,101.0,110.0,309.0,1099.0,436.0,88.0
